,POSTCODE,COORDS,PERUS
76484,980,POINT (25507050.56144895 6676403.649776562),704
76485,980,POINT (25507037.32150964 6676378.232612358),704
76486,980,POINT (25507011.59886329 6676467.516588113),704
76487,980,POINT (25506855.7832696 6676391.748391193),704
76488,980,POINT (25506855.7832696 6676391.748391193),704
76489,980,POINT (25506881.02019054 6676417.532809271),704
76490,980,POINT (25506955.63959767 6676431.801326882),704
76491,980,POINT (25506981.51651419 6676403.56205853),704
76492,980,POINT (25506949.28120844 6676377.563110821),704
76493,980,POINT (25506917.77157932 6676360.601652674),704
76494,980,POINT (25506882.17310017 6676379.542138021),704
76495,980,POINT (25506897.07815229 6676449.038025046),704
76496,980,POINT (25506819.45399221 6676368.628599821),704
76497,980,POINT (25506819.45399221 6676368.628599821),704
76498,980,POINT (25506802.1544748 6676345.087663187),704
76499,980,POINT (25506774.97907069 6676317.250153949),704
76500,980,POINT (25506745.4111186 6676302.343829135),704
76501,980,POINT (25506898.50135839 6676302.974402672),704
76502,980,POINT (25506770.04129028 6676282.06701527),704
76503,980,POINT (25506852.1165909 6676347.60967463),704
76504,980,POINT (25506892.71219416 6676328.823140385),704
76505,980,POINT (25506875.23432393 6676344.299383828),704
76506,980,POINT (25506646.5177545 6676263.312279647),704
76507,980,POINT (25506686.02621944 6676247.507430164),704
76508,980,POINT (25506721.96169014 6676250.592584918),704
76509,980,POINT (25506764.79649583 6676256.899608846),704
76510,980,POINT (25506676.93773409 6676316.279033705),704
76511,980,POINT (25506706.32794981 6676304.154977561),704
76512,980,POINT (25506688.17688464 6676275.588166916),704
76513,980,POINT (25506704.35482774 6676270.069235921),704
76514,980,POINT (25506723.74654708 6676323.695845193),704
76515,980,POINT (25506647.03434232 6676345.393321719),704
76516,980,POINT (25506591.22843935 6676304.670210706),704
76517,980,POINT (25506564.59730498 6676324.877788081),704
76518,980,POINT (25506564.62307905 6676356.90990968),704
76519,980,POINT (25506591.07282904 6676375.719860412),704
76520,980,POINT (25506624.7328026 6676222.628284812),704
76521,980,POINT (25506542.81284047 6676119.075927848),704
76522,980,POINT (25506542.81284047 6676119.075927848),704
76523,980,POINT (25506578.38039131 6676167.182171974),704
76524,980,POINT (25506617.15847548 6676175.363109352),704
76525,980,POINT (25506581.65058343 6676125.251108005),704
76526,980,POINT (25506592.16538151 6676141.581304943),704
76527,980,POINT (25506539.45044515 6676097.956613706),704
76528,980,POINT (25506539.45044515 6676097.956613706),704
76529,980,POINT (25506522.45281595 6676295.589232127),704
76530,980,POINT (25506493.36748944 6676198.627999378),704
76531,980,POINT (25506479.2772851 6676234.233845177),704
76532,980,POINT (25506525.57470387 6676258.649280655),704
76533,980,POINT (25506459.43350251 6676261.651666662),704
76534,980,POINT (25506478.52017108 6676292.246763021),704
76535,980,POINT (25506485.18675233 6676270.432187942),704
76536,980,POINT (25506534.2045525 6676171.849404337),704
76537,980,POINT (25506534.2045525 6676171.849404337),704
76538,980,POINT (25506552.38684122 6676199.42389812),704
76539,980,POINT (25506571.6262461 6676225.017177672),704
76540,980,POINT (25506513.90953806 6676181.239034346),704
76541,980,POINT (25506525.48183014 6676195.598860579),704
76542,980,POINT (25506559.14078049 6676240.659869704),704
76543,980,POINT (25506546.57045578 6676226.264726592),704
76544,980,POINT (25506400.56597593 6676123.771429992),704
76545,980,POINT (25506400.56597593 6676123.771429992),704
76546,980,POINT (25506377.29789162 6676165.09955198),704
76547,980,POINT (25506377.29789162 6676165.09955198),704
76548,980,POINT (25506405.19933108 6676201.971192259),704
76549,980,POINT (25506405.19933108 6676201.971192259),704
76550,980,POINT (25506440.92056617 6676179.026462549),704
76551,980,POINT (25506440.92056617 6676179.026462549),704
76552,980,POINT (25506470.82654995 6676116.886837696),704
76553,980,POINT (25506470.82654995 6676116.886837696),704
76554,980,POINT (25506508.08875189 6676142.032578132),704
76555,980,POINT (25506508.08875189 6676142.032578132),704
76556,980,POINT (25506477.15743966 6676172.126879763),704
76557,980,POINT (25506477.15743966 6676172.126879763),704
76558,980,POINT (25506458.8564582 6676214.599718034),704
76559,980,POINT (25506458.8564582 6676214.599718034),704
76560,980,POINT (25506436.28873007 6676232.932465985),704
76561,980,POINT (25506436.28873007 6676232.932465985),704
76562,980,POINT (25506442.19248909 6676137.036055367),704
76563,980,POINT (25506428.31757198 6676198.658080569),704
76564,980,POINT (25506345.06206655 6676238.16580077),704
76565,980,POINT (25506363.60100092 6676220.716815914),704
76566,980,POINT (25506376.02469105 6676240.113647112),704
76567,980,POINT (25506353.60487543 6676253.444588124),704
76568,980,POINT (25506331.63985604 6676218.756206978),704
76569,980,POINT (25506356.3622365 6676195.47968962),704
76570,980,POINT (25506339.88047542 6676177.969969438),704
76571,980,POINT (25506317.09582887 6676203.299991583),704
76572,980,POINT (25506340.27246697 6676098.921089901),704
76573,980,POINT (25506353.57718225 6676122.341478592),704
76574,980,POINT (25506292.89233616 6676176.551937718),704
76575,980,POINT (25506302.58666455 6676186.852293287),704
76576,980,POINT (25506318.33686178 6676162.312232832),704
76577,980,POINT (25506297.03979518 6676138.644246898),704
76578,980,POINT (25506286.55867577 6676121.312215486),704
76579,980,POINT (25506275.34742873 6676161.001601912),704
76580,980,POINT (25506275.34742873 6676161.001601912),704
76581,980,POINT (25506311.0051983 6676107.048463779),704
76582,980,POINT (25506324.55129723 6676122.469503793),704
76583,980,POINT (25506338.91329526 6676143.919605057),704
76584,980,POINT (25506344.57604037 6676320.211619692),704
76585,980,POINT (25506344.57604037 6676320.211619692),704
76586,980,POINT (25506327.21827002 6676331.70199199),704
76587,980,POINT (25506327.21827002 6676331.70199199),704
76588,980,POINT (25506336.81816253 6676344.999366025),704
76589,980,POINT (25506336.81816253 6676344.999366025),704
76590,980,POINT (25506351.24367878 6676364.455289573),704
76591,980,POINT (25506351.24367878 6676364.455289573),704
76592,980,POINT (25506369.75254951 6676347.997883633),704
76593,980,POINT (25506369.75254951 6676347.997883633),704
76594,980,POINT (25506392.23633738 6676332.672807991),704
76595,980,POINT (25506392.23633738 6676332.672807991),704
76596,980,POINT (25506415.68360155 6676318.363442777),704
76597,980,POINT (25506415.68360155 6676318.363442777),704
76598,980,POINT (25506402.23259497 6676299.945137625),704
76599,980,POINT (25506402.23259497 6676299.945137625),704
76600,980,POINT (25506382.66263917 6676285.348919653),704
76601,980,POINT (25506382.66263917 6676285.348919653),704
76602,980,POINT (25506364.45364768 6676291.801633716),704
76603,980,POINT (25506312.12930697 6676301.214847691),704
76604,980,POINT (25506312.12930697 6676301.214847691),704
76605,980,POINT (25506295.80060014 6676278.714154865),704
76606,980,POINT (25506295.80060014 6676278.714154865),704
76607,980,POINT (25506326.30598419 6676262.622563533),704
76608,980,POINT (25506327.67284627 6676283.682527719),704
76609,980,POINT (25506245.32182526 6676227.142444218),704
76610,980,POINT (25506233.90200892 6676174.757528471),704
76611,980,POINT (25506233.90200892 6676174.757528471),704
76612,980,POINT (25506300.98128759 6676239.838921662),704
76613,980,POINT (25506271.68025481 6676248.958151838),704
76614,980,POINT (25506286.25374453 6676263.411495436),704
76615,980,POINT (25506301.55616885 6676253.867170303),704
76616,980,POINT (25506285.55668065 6676220.359203066),704
76617,980,POINT (25506179.54572135 6676053.021578746),704
76618,980,POINT (25506170.8840229 6676041.753974244),704
76619,980,POINT (25506165.21738266 6676030.580563699),704
76620,980,POINT (25506170.97227421 6676038.757036814),704
76621,980,POINT (25506210.14627975 6676033.943237712),704
76622,980,POINT (25506210.14627975 6676033.943237712),704
76623,980,POINT (25506206.05947229 6676003.78718394),704
76624,980,POINT (25506184.60777494 6676018.156964981),704
76625,980,POINT (25506247.35051168 6676127.127880423),704
76626,980,POINT (25506247.35051168 6676127.127880423),704
76627,980,POINT (25506233.83907342 6676110.71558443),704
76628,980,POINT (25506221.23758784 6676097.324254152),704
76629,980,POINT (25506205.66482893 6676082.836056544),704
76630,980,POINT (25506192.05922523 6676069.420843191),704
76631,980,POINT (25506232.95994159 6676040.633518008),704
76632,980,POINT (25506232.95994159 6676040.633518008),704
76633,980,POINT (25506217.45079352 6676057.1746928),704
76634,980,POINT (25506231.99027638 6676072.630499396),704
76635,980,POINT (25506254.5920267 6676086.317470425),704
76636,980,POINT (25506285.49709202 6676090.2587935),704
76637,980,POINT (25506276.56081191 6676054.96920855),704
76638,980,POINT (25506253.95896848 6676041.270961038),704
76639,980,POINT (25506250.20012116 6676066.177128156),704
76640,980,POINT (25506297.25413508 6676065.600378144),704
76641,980,POINT (25506261.10943358 6676102.528471969),704
76642,980,POINT (25506199.18080525 6676164.704587982),704
76643,980,POINT (25506199.18080525 6676164.704587982),704
76644,980,POINT (25506208.0247604 6676136.943594862),704
76645,980,POINT (25506181.78808085 6676144.163528826),704
76646,980,POINT (25506207.12023216 6676133.922691951),704
76647,980,POINT (25506164.33633788 6676125.616797721),704
76648,980,POINT (25506174.18401445 6676097.890839046),704
76649,980,POINT (25506145.95043447 6676105.04081441),704
76650,980,POINT (25506172.24613185 6676095.837520962),704
76651,980,POINT (25506126.34325034 6676058.413857251),704
76652,980,POINT (25506101.01635142 6676068.655261203),704
76653,980,POINT (25506118.40988824 6676089.195934207),704
76654,980,POINT (25506145.8271921 6676076.016779429),704
76655,980,POINT (25506156.09782657 6675968.250347726),704
76656,980,POINT (25506156.09782657 6675968.250347726),704
76657,980,POINT (25506123.28328183 6675994.277784865),704
76658,980,POINT (25506913.40570912 6675976.186221312),704
76659,980,POINT (25506533.35992425 6676001.704716992),704
76660,980,POINT (25506531.51288082 6676029.666804122),704
76661,980,POINT (25506568.89921308 6676050.813550759),704
76662,980,POINT (25506592.40802776 6676034.511082973),704
76663,980,POINT (25506614.83005303 6676021.181606642),704
76664,980,POINT (25506647.15396794 6676044.180658077),704
76665,980,POINT (25506644.03403395 6676015.06202931),704
76666,980,POINT (25506611.70429492 6675992.062996476),704
76667,980,POINT (25506579.74128184 6675990.100223989),704
76668,980,POINT (25506645.76374874 6675991.099614146),704
76669,980,POINT (25506682.08678028 6676014.217647412),704
76670,980,POINT (25506686.9356833 6675986.339104632),704
76671,980,POINT (25506670.6023369 6675963.825598242),704
76672,980,POINT (25506640.75962216 6675957.92203463),704
76673,980,POINT (25506619.55339246 6675964.278916464),704
76674,960,POINT (25508139.01848624 6678495.139407507),704
76675,960,POINT (25508139.01848624 6678495.139407507),704
76676,960,POINT (25508155.07614721 6678460.602660182),704
76677,960,POINT (25508155.07614721 6678460.602660182),704
76678,960,POINT (25508175.6486099 6678343.137733041),704
76679,960,POINT (25508175.6486099 6678343.137733041),704
76680,960,POINT (25508175.6486099 6678343.137733041),704
76681,960,POINT (25508175.6486099 6678343.137733041),704
76682,960,POINT (25508165.68302365 6678374.858000393),704
76683,960,POINT (25508165.68302365 6678374.858000393),704
76684,960,POINT (25508155.62221335 6678409.58632517),704
76685,960,POINT (25508155.62221335 6678409.58632517),704
76686,960,POINT (25508155.62221335 6678409.58632517),704
76687,960,POINT (25508155.62221335 6678409.58632517),704
76688,960,POINT (25508182.9805768 6678299.334071893),704
76689,960,POINT (25508182.9805768 6678299.334071893),704
76690,960,POINT (25508182.9805768 6678299.334071893),704
